rent,deposit,layout,area,orientation,floor,decoration,type,compound,street,house_id
1400,付1押1,1室0厅1卫,20平方米,朝南,中层(共18层),精装修,普通住宅,喜峰嘉园,河北 宁园街,3.11E+15
1400,付1押1,1室0厅1卫,35平方米,南北,低层(共7层),精装修,普通住宅,悦雅花园(AC区),AC区,3.11E+15
1500,付1押1,1室1厅1卫,50平方米,朝南,低层(共10层),精装修,普通住宅,盛庭名景花园,北辰 瑞景街,3.11E+15
2100,年付,2室1厅1卫,81平方米,南北,低层(共6层),精装修,普通住宅,滨河新苑,河东 富民路,3.11E+15
2000,付3押1,1室1厅1卫,68平方米,南北,低层(共17层),精装修,普通住宅,碧海鸿庭,塘沽 塘沽新村街,3.11E+15
1500,付1押1,1室0厅1卫,40平方米,朝南,低层(共18层),精装修,普通住宅,保富国际,西青 新梅江南,3.11E+15
1600,付3押1,2室1厅1卫,94平方米,南北,高层(共30层),精装修,普通住宅,远洋城滨悦花园,塘沽 胡家园街,3.11E+15
2550,付3押1,1室1厅1卫,48平方米,朝南,中层(共7层),精装修,普通住宅,金田花园,河北 望海楼街,3.11E+15
1700,付1押1,1室0厅1卫,40平方米,朝南,高层(共31层),精装修,普通住宅,王顶堤家园,西青 中北,3.11E+15
1400,付1押1,1室1厅1卫,35平方米,朝南,高层(共6层),精装修,普通住宅,流霞东里,红桥 西于庄街,3.11E+15
2200,付3押1,2室1厅1卫,91平方米,朝南,高层(共32层),精装修,普通住宅,贻成豪庭,塘沽 工农村街,3.11E+15
1600,付3押1,1室1厅1卫,69平方米,朝南,高层(共30层),精装修,普通住宅,远洋城滨愉花园,塘沽 胡家园街,3.11E+15
2150,付3押1,2室1厅1卫,83.1平方米,南北,中层(共6层),简单装修,普通住宅,先锋公寓,东丽 津塘路,3.11E+15
1550,付3押1,1室1厅1卫,38平方米,朝南,中层(共6层),简单装修,普通住宅,临营西里,河东 常州道,3.08E+15
1600,付3押1,2室1厅1卫,98平方米,南北,高层(共30层),精装修,普通住宅,远洋城滨悦花园,塘沽 胡家园街,3.10E+15
1500,付3押1,2室1厅1卫,77平方米,朝南,低层(共30层),精装修,普通住宅,星耀五洲澜海庄园,津南 津南八里台,3.11E+15
2000,付3押1,2室2厅1卫,92平方米,南北,高层(共32层),精装修,普通住宅,雅晟轩,津南 咸水沽,3.11E+15
2500,付1押1,2室1厅1卫,60平方米,南北,高层(共6层),精装修,普通住宅,华宁北里,南开 天拖南,3.11E+15
2000,付3押1,2室2厅1卫,74平方米,朝南,中层(共29层),精装修,普通住宅,晴景家园,塘沽 工农村街,3.11E+15
13000,付3押1,3室2厅1卫,113.8平方米,朝南,中层(共16层),精装修,普通住宅,格普澜轩,和平 新兴街,3.11E+15
1850,付3押1,2室1厅1卫,65平方米,东北,高层(共24层),精装修,普通住宅,富瀛洲花园,河北 建昌道街,3.10E+15
3000,付3押1,2室2厅1卫,91平方米,朝南,中层(共7层),精装修,普通住宅,盛海公寓,河北 光复道街,3.11E+15
1600,付3押1,2室1厅1卫,60平方米,南北,中层(共6层),简单装修,普通住宅,建昌里,河北 建昌道街,3.11E+15
2100,付1押1,1室1厅1卫,45平方米,朝南,低层(共10层),精装修,普通住宅,紫乐名轩,河东 一号桥,3.10E+15
7000,付3押1,2室1厅1卫,95平方米,朝南,中层(共41层),精装修,公寓,融创星河和平印,和平 南营门,2.91E+15
1300,付3押1,1室1厅1卫,38平方米,南北,高层(共6层),精装修,普通住宅,惠安里,塘沽 塘沽新村街,3.11E+15
2000,面议,1室1厅1卫,66.4平方米,朝南,中层(共28层),精装修,普通住宅,赵沽里新苑,东丽 大毕庄镇,3.11E+15
2000,面议,1室1厅1卫,47平方米,朝南,高层(共9层),精装修,普通住宅,第六大道俊东公寓,河东 上杭路,3.11E+15
2300,付3押1,2室2厅1卫,96.5平方米,朝南,高层(共18层),精装修,普通住宅,雪优花园,东丽 华明镇,3.11E+15
1500,付3押1,2室1厅1卫,83.7平方米,朝南,中层(共6层),精装修,普通住宅,红霞里(津南),津南,3.10E+15
4000,付3押1,2室1厅1卫,60平方米,南北,高层(共6层),精装修,普通住宅,健春里,河西 越秀路,3.11E+15
1300,付1押1,1室1厅1卫,35平方米,朝南,中层(共6层),精装修,普通住宅,梨秀园,西青 新梅江南,3.11E+15
2400,付3押1,2室1厅1卫,96平方米,南北,中层(共6层),精装修,普通住宅,侯台家园,西青 侯台,3.11E+15
1800,付1押1,1室1厅1卫,40平方米,南北,中层(共6层),精装修,普通住宅,晋宁北里,南开 天拖南,3.09E+15
2600,面议,3室2厅1卫,92平方米,南北,高层(共8层),精装修,普通住宅,龙湖天宸原著,津南 海河教育园区,3.11E+15
1600,付1押1,1室0厅1卫,33平方米,朝南,低层(共26层),精装修,普通住宅,中汇大厦,河北 鸿顺里街,3.11E+15
2400,付3押1,2室2厅1卫,95平方米,南北,低层(共22层),精装修,普通住宅,航天家园雅馨园,开发区 中新生态城,3.11E+15
1600,付3押1,1室1厅1卫,50平方米,南北,高层(共6层),精装修,普通住宅,千间宿舍二段,塘沽 新港街,3.11E+15
1900,付3押1,2室2厅1卫,99平方米,朝南,低层(共6层),简单装修,普通住宅,地丰里,西青 张家窝,3.10E+15
1500,半年付押1,1室1厅1卫,61.9平方米,朝南,高层(共6层),简单装修,普通住宅,詹滨西里社区,东丽 先锋路,3.10E+15
1900,付3押1,1室1厅1卫,64.2平方米,朝南,高层(共32层),精装修,普通住宅,嘉畅园,河北 建昌道街,3.11E+15
2000,付3押1,2室1厅0卫,67平方米,朝南,中层(共36层),精装修,普通住宅,碧春园,红桥 双环街,3.10E+15
3600,付3押1,3室2厅2卫,134平方米,南北,低层(共33层),精装修,普通住宅,金旭园,河东 鲁山道,3.11E+15
1900,付3押1,2室1厅1卫,75平方米,南北,高层(共15层),精装修,普通住宅,华润橡树湾芳润轩,东丽 华明镇,3.10E+15
4000,付3押1,2室2厅1卫,108平方米,朝南,中层(共18层),精装修,普通住宅,星月轩,开发区 第三大街,3.11E+15
1800,付3押1,1室1厅1卫,56平方米,南北,低层(共6层),精装修,普通住宅,康桥里,河北 建昌道街,3.11E+15
4200,付3押1,3室2厅2卫,124平方米,南北,中层(共8层),精装修,普通住宅,龙湖天宸原著,津南 海河教育园区,3.03E+15
2400,付3押1,2室1厅1卫,80平方米,朝南,低层(共31层),精装修,普通住宅,新城家园,塘沽 新港街,3.11E+15
5500,付3押1,3室1厅2卫,100平方米,南北,高层(共6层),精装修,普通住宅,寿安里,和平 新兴街,3.11E+15
6000,付3押1,2室1厅1卫,78.8平方米,朝南,中层(共61层),精装修,普通住宅,和平翰林公馆,和平 劝业场,3.11E+15
2000,付3押1,2室1厅1卫,80平方米,朝南,高层(共26层),简单装修,普通住宅,荣乐园,北辰 青光,3.11E+15
2200,付3押1,2室1厅1卫,86平方米,南北,高层(共33层),精装修,普通住宅,首创国际城,塘沽 工农村街,3.11E+15
2000,付3押1,2室2厅1卫,86平方米,朝南,高层(共18层),精装修,普通住宅,鲲贝园,开发区 中新生态城,3.10E+15
2400,付3押1,2室1厅1卫,95平方米,朝南,高层(共34层),精装修,普通住宅,晓镇家园,塘沽 工农村街,3.09E+15
4700,付3押1,1室1厅1卫,67.4平方米,朝南,高层(共49层),精装修,普通住宅,都会轩,和平 体育馆,3.11E+15
2300,付3押1,2室1厅1卫,79平方米,朝北,高层(共27层),简单装修,普通住宅,鸿正富贵嘉园,塘沽 新港街,3.09E+15
3500,付3押1,2室1厅1卫,54平方米,南北,中层(共6层),精装修,普通住宅,朝阳里(和平),和平,3.11E+15
3500,面议,2室2厅1卫,90.3平方米,南北,高层(共26层),精装修,其他,美域豪庭,西青 李七庄,3.11E+15
2100,面议,2室1厅1卫,104平方米,南北,高层(共6层),精装修,普通住宅,胜景花园,河北 新开河街,3.10E+15
3200,面议,2室1厅1卫,97.2平方米,南北,低层(共10层),精装修,普通住宅,春和仁居,河北 建昌道街,3.11E+15
2500,付3押1,3室1厅1卫,94.2平方米,朝南,高层(共22层),精装修,普通住宅,雪优花园,东丽 华明镇,3.05E+15
5200,付3押1,2室1厅1卫,98平方米,南北,低层(共7层),精装修,普通住宅,森淼公寓,河西 马场道,3.11E+15
1700,付1押1,1室0厅1卫,30平方米,朝南,低层(共30层),精装修,普通住宅,中储正荣栋境,河东 上杭路,3.11E+15
1500,面议,1室1厅1卫,30平方米,朝南,高层(共7层),简单装修,普通住宅,天环里,南开 万兴街,3.10E+15
1260,面议,1室1厅1卫,40平方米,朝南,高层(共6层),简单装修,普通住宅,宜鹏园,北辰 宜兴埠,3.10E+15
3000,付3押1,2室2厅1卫,124.2平方米,朝北,低层(共18层),精装修,普通住宅,阳光100国际新城东园,南开 体育中心,3.11E+15
1800,付3押1,1室1厅1卫,44平方米,朝南,低层(共11层),精装修,普通住宅,颐景公寓,东丽 空港经济区,3.11E+15
1650,付1押1,1室1厅1卫,30平方米,朝南,低层(共6层),精装修,普通住宅,水蓝花园,南开 水上公园,3.10E+15
1645,年付押1,1室1厅1卫,40平方米,朝南,低层(共7层),精装修,普通住宅,新城小区,河西 挂甲寺,3.11E+15
3300,付3押1,3室2厅2卫,149.5平方米,朝南,低层(共13层),精装修,公寓,颐景公寓,东丽 空港经济区,3.11E+15
1200,付3押1,2室2厅1卫,80平方米,朝南,中层(共33层),精装修,普通住宅,星耀五洲枫情阳光城,津南 津南八里台,3.11E+15
2200,面议,2室2厅1卫,110平方米,南北,低层(共16层),简单装修,普通住宅,碧海鸿庭,塘沽 塘沽新村街,3.11E+15
4200,付3押1,2室1厅1卫,59平方米,南北,中层(共7层),精装修,普通住宅,鸿记里,和平 劝业场,3.11E+15
3000,付3押1,2室2厅1卫,86.1平方米,南北,高层(共18层),精装修,普通住宅,意境兰庭,东丽 空港经济区,3.10E+15
1550,付1押1,1室0厅1卫,45平方米,朝南,低层(共25层),精装修,普通住宅,振业名邸,红桥 双环街,3.10E+15
15000,年付,5室2厅2卫,234平方米,南北,中层(共32层),精装修,普通住宅,恒大帝景,河东 富民路,2.98E+15
1700,付3押1,3室1厅1卫,90平方米,南北,高层(共34层),精装修,普通住宅,远洋城滨雅花园,塘沽 胡家园街,3.11E+15
1500,付3押1,2室1厅1卫,54.7平方米,南北,共5层,简单装修,普通住宅,渤海石油新村(三区),塘沽 渤海石油街,3.11E+15
10000,付3押1,4室2厅2卫,181平方米,南北,高层(共33层),精装修,其他,仁恒公园世纪,河西 梅江南,3.11E+15
1600,付3押1,2室1厅1卫,107.4平方米,南北,高层(共6层),简单装修,普通住宅,春江里,东丽 大毕庄镇,3.08E+15
2100,付3押1,2室1厅1卫,55平方米,南北,高层(共6层),精装修,普通住宅,贺福里,河西 柳林,3.11E+15
1800,付3押1,1室1厅1卫,39平方米,朝南,中层(共6层),精装修,普通住宅,河华里,塘沽 塘沽新村街,3.11E+15
1900,付3押1,2室1厅1卫,74.6平方米,朝南,中层(共31层),精装修,普通住宅,晴景家园,塘沽 工农村街,3.11E+15
1200,付3押1,2室2厅1卫,87.2平方米,朝南,低层(共32层),简单装修,普通住宅,大唐盛世观雅庭院,津南 津南八里台,3.11E+15
2000,付3押1,2室1厅1卫,64.7平方米,朝南,共5层,简单装修,普通住宅,泰山里, ,3.10E+15
1500,付3押1,2室1厅1卫,83.7平方米,朝南,中层(共6层),精装修,普通住宅,红霞里(津南),津南,3.10E+15
6000,付3押1,2室1厅1卫,111平方米,南北,中层(共6层),简单装修,普通住宅,德恩里,河西 桃园街,3.11E+15
2300,付3押1,2室1厅1卫,95平方米,朝南,中层(共34层),精装修,普通住宅,首创国际城,塘沽 工农村街,3.09E+15
2550,付3押1,2室1厅1卫,56平方米,朝南,高层(共7层),简单装修,普通住宅,兴河里小区,和平 新兴街,3.11E+15
1700,付1押1,1室1厅1卫,45平方米,朝南,低层(共19层),精装修,普通住宅,振业名邸,红桥 双环街,3.11E+15
2800,面议,2室1厅1卫,93平方米,南北,中层(共30层),精装修,普通住宅,悦海园,塘沽 解放路街,3.10E+15
3500,付3押1,1室2厅1卫,61.7平方米,东北,高层(共30层),简单装修,普通住宅,龙亭家园,南开 鼓楼,3.11E+15
5500,付3押1,3室2厅2卫,145平方米,南北,高层(共16层),精装修,普通住宅,水木天成临湾园,红桥 咸阳北路街,3.10E+15
1700,付1押1,1室1厅1卫,35平方米,朝南,低层(共23层),精装修,普通住宅,中储正荣栋境,河东 上杭路,3.09E+15
1700,付1押1,2室1厅1卫,30平方米,朝南,中层(共20层),精装修,普通住宅,大运河府,北辰 瑞景街,3.11E+15
2500,付1押1,2室1厅1卫,48.8平方米,南北,高层(共6层),精装修,普通住宅,鹤园北里,南开 王顶堤,3.11E+15
1600,付1押1,2室1厅1卫,60平方米,南北,中层(共6层),精装修,普通住宅,延安里,塘沽 向阳街,3.05E+15
4500,付1押1,3室1厅2卫,80.8平方米,南北,中层(共22层),精装修,普通住宅,金冠里,南开 王顶堤,3.11E+15
2700,付3押1,3室2厅1卫,89平方米,朝南,低层(共7层),精装修,普通住宅,阳光城未来悦,津南 海河教育园区,3.10E+15
1700,付3押1,1室1厅1卫,60平方米,南北,高层(共15层),精装修,普通住宅,和畅园(滨海),滨海,3.11E+15
2500,付3押1,2室2厅1卫,84平方米,南北,中层(共9层),精装修,普通住宅,宜禾美锦园,开发区 中新生态城,3.11E+15
2600,付3押1,1室1厅1卫,37.9平方米,朝西,中层(共7层),精装修,普通住宅,三合里,河西 马场道,3.11E+15
3600,面议,3室2厅2卫,118平方米,南北,低层(共13层),精装修,其他,融林园,东丽 张贵庄街,3.11E+15
1400,付1押1,1室1厅1卫,30平方米,朝南,高层(共12层),精装修,普通住宅,富力津门湖黛湖花园,西青 新梅江南,3.11E+15
1800,付1押1,1室1厅1卫,40平方米,朝南,低层(共11层),精装修,普通住宅,万科西华府博华苑,西青 中北,3.09E+15
1800,付1押1,1室1厅1卫,40平方米,朝南,低层(共11层),精装修,普通住宅,万科西华府博华苑,西青 中北,3.09E+15
1700,付3押1,2室1厅1卫,80平方米,朝南,高层(共25层),精装修,普通住宅,欣然苑,塘沽 北塘街,3.11E+15
1300,付1押1,1室0厅1卫,30平方米,朝南,低层(共10层),精装修,普通住宅,喜峰嘉园,河北 宁园街,3.11E+15
3500,付3押1,2室1厅1卫,77平方米,南北,高层(共7层),简单装修,普通住宅,新建村小区,和平 和平周边,3.09E+15
2500,付3押1,1室1厅1卫,42平方米,朝南,中层(共26层),精装修,普通住宅,融创奥城天玺,南开 体育中心,3.10E+15
560,付1押1,3室1厅1卫,16平方米,朝南,中层(共8层),精装修,普通住宅,旭辉燕南园,西青 精武,3.06E+15
2200,付3押1,3室2厅1卫,90平方米,朝南,中层(共32层),精装修,普通住宅,津南新城合安园,津南 咸水沽,3.11E+15
1600,付3押1,2室2厅1卫,70平方米,南北,共5层,简单装修,普通住宅,渤海石油新村(四区),塘沽 渤海石油街,3.11E+15
4980,付1押1,4室2厅2卫,244平方米,南北,低层(共27层),精装修,普通住宅,合生君景湾,开发区 第五大街,3.11E+15
7500,付3押1,2室1厅1卫,89.5平方米,西北,高层(共41层),豪华装修,普通住宅,融创星河和平印,和平 南营门,3.02E+15
3500,付3押1,2室1厅1卫,56平方米,朝南,共5层,精装修,普通住宅,竞业里, ,3.11E+15
2000,付3押1,2室1厅1卫,58.9平方米,南北,高层(共6层),精装修,普通住宅,吉祥里,塘沽 解放路街,3.09E+15
1500,付3押1,2室1厅1卫,90平方米,南北,中层(共26层),精装修,普通住宅,远洋城滨兴花园,滨海新区 滨海城区,3.11E+15
2800,付3押1,2室2厅1卫,87平方米,南北,低层(共29层),简单装修,普通住宅,雅仕兰庭,河东 富民路,3.11E+15
1200,付3押1,1室1厅1卫,60平方米,朝南,高层(共28层),简单装修,普通住宅,南仓新苑,北辰 北仓,3.10E+15
4000,付3押1,2室1厅1卫,59.8平方米,东西,中层(共6层),精装修,普通住宅,市政里小区,和平 南营门,3.11E+15
2600,付3押1,2室2厅1卫,100平方米,南北,高层(共24层),精装修,普通住宅,雪优花园,东丽 华明镇,3.11E+15
1500,付3押1,1室1厅1卫,62平方米,朝南,低层(共30层),精装修,普通住宅,盛泽园,北辰 青光,3.11E+15
2300,付3押1,2室2厅1卫,93平方米,南北,高层(共21层),精装修,普通住宅,鲲玉园,开发区 中新生态城,3.10E+15
6000,面议,1室1厅1卫,66.3平方米,东南,中层(共50层),精装修,普通住宅,都会轩,和平 体育馆,3.11E+15
4600,付3押1,2室2厅1卫,83.7平方米,东北,低层(共30层),精装修,普通住宅,尚佳新苑,南开 鼓楼,3.11E+15
2100,付3押1,1室1厅1卫,38平方米,朝南,中层(共17层),精装修,普通住宅,康达尚郡,南开 华苑,3.11E+15
2300,付3押1,2室1厅1卫,72.4平方米,朝南,中层(共24层),简单装修,普通住宅,贵贤里,河北 铁东路街,3.10E+15
2300,付3押1,2室1厅1卫,55平方米,朝南,高层(共6层),简单装修,普通住宅,益寿东里,河东 常州道,3.11E+15
1800,付1押1,1室1厅1卫,50平方米,朝南,高层(共20层),精装修,普通住宅,富民河畔家园,河东 富民路,3.10E+15
3000,付3押1,2室2厅1卫,93平方米,南北,高层(共30层),精装修,普通住宅,大津城臻品,西青 李七庄,3.10E+15
800,付1押1,3室1厅2卫,32平方米,朝南,低层(共21层),精装修,普通住宅,贻欣园,开发区 第一大街,3.09E+15
7000,付3押1,2室1厅1卫,90.8平方米,东南,低层(共31层),精装修,普通住宅,金德园,和平 南营门,3.11E+15
750,付1押1,3室1厅1卫,19.8平方米,朝南,低层(共6层),精装修,普通住宅,赛园里,河北 宁园街,3.11E+15
3300,付3押1,2室2厅1卫,93.3平方米,南北,低层(共26层),精装修,普通住宅,美域豪庭,西青 李七庄,3.10E+15
3500,付3押1,2室2厅1卫,90.3平方米,朝南,高层(共26层),精装修,普通住宅,美域豪庭,西青 李七庄,3.11E+15
2800,付3押1,2室1厅1卫,88平方米,南北,高层(共33层),精装修,普通住宅,万海华府北苑,滨海新区 滨海城区,3.11E+15
7000,付3押1,3室1厅2卫,115.7平方米,南北,高层(共7层),精装修,普通住宅,尚府云台花园,和平 劝业场,3.11E+15
650,付1押1,3室1厅1卫,20平方米,朝南,中层(共24层),精装修,普通住宅,欣荣馨苑,河东 春华街,3.11E+15
4500,付3押1,3室2厅2卫,140平方米,南北,高层(共11层),精装修,普通住宅,海韵园(塘沽),塘沽,3.10E+15
3200,付3押1,2室1厅1卫,93平方米,南北,低层(共30层),精装修,普通住宅,悦海园,塘沽 解放路街,3.11E+15
2000,面议,2室2厅1卫,96.8平方米,南北,高层(共6层),简单装修,普通住宅,中盛里,西青 李七庄,3.05E+15
850,付1押1,3室1厅2卫,30平方米,朝南,中层(共21层),精装修,普通住宅,世富嘉园,开发区 第二大街,3.11E+15
788,付1押1,3室1厅2卫,25平方米,朝南,中层(共12层),精装修,普通住宅,泰达新天地,开发区 第二大街,3.09E+15
850,付1押1,3室1厅1卫,20平方米,朝南,高层(共35层),精装修,普通住宅,盈秀园,南开 天拖南,3.11E+15
2700,面议,1室1厅1卫,45平方米,朝南,中层(共26层),精装修,普通住宅,融创奥城天玺,南开 体育中心,3.11E+15
750,付1押1,3室2厅2卫,15平方米,南北,高层(共6层),精装修,普通住宅,龙居花园三区,西青 大寺,3.11E+15
7300,付3押1,2室2厅1卫,92平方米,西北,高层(共41层),精装修,公寓,融创星河和平印,和平 南营门,3.11E+15
2200,付3押1,2室2厅1卫,94.1平方米,南北,高层(共34层),精装修,普通住宅,嘉安园,塘沽 工农村街,3.11E+15
8300,付3押1,3室2厅2卫,158.7平方米,南北,中层(共28层),豪华装修,普通住宅,天越园,南开 鼓楼,3.07E+15
2000,付3押1,1室1厅1卫,39平方米,朝南,高层(共7层),简单装修,普通住宅,卫安中里,南开 广开街,3.11E+15
2500,付3押1,1室1厅1卫,39.2平方米,朝南,高层(共6层),简单装修,普通住宅,信华楼,和平 南营门,3.11E+15
1600,付3押1,1室1厅1卫,24.5平方米,朝北,高层(共7层),简单装修,普通住宅,新义信里,河东 大王庄,3.09E+15
2600,付3押1,1室1厅1卫,44.6平方米,南北,高层(共6层),简单装修,普通住宅,群富里,南开 万兴街,3.11E+15
1800,付3押1,1室1厅1卫,28.3平方米,朝东,高层(共7层),简单装修,普通住宅,卫安中里,南开 广开街,3.08E+15
2200,付3押1,2室1厅1卫,25.4平方米,南北,共5层,简单装修,普通住宅,育红楼, ,3.11E+15
2000,付3押1,2室1厅1卫,103.3平方米,朝北,高层(共6层),简单装修,普通住宅,人民家园,红桥 双环街,3.11E+15
2600,面议,2室1厅1卫,43平方米,朝东,高层(共7层),简单装修,普通住宅,珠波里,河西 越秀路,3.11E+15
1900,付3押1,1室1厅1卫,36.9平方米,朝南,共5层,简单装修,普通住宅,新闻里, ,3.11E+15
3700,付3押1,2室1厅1卫,65.5平方米,朝南,高层(共6层),简单装修,普通住宅,怀远里,和平 南市,3.11E+15
2000,付3押1,1室1厅1卫,35平方米,朝南,中层(共8层),简单装修,普通住宅,元兴新里,河西 桃园街,3.11E+15
1400,付3押1,1室0厅1卫,22.4平方米,朝南,中层(共6层),简单装修,普通住宅,本溪楼,红桥 咸阳北路街,3.11E+15
1600,付3押1,2室1厅1卫,60平方米,朝南,高层(共6层),简单装修,普通住宅,金华里(东丽),东丽,3.11E+15
1700,面议,1室1厅1卫,37.6平方米,朝南,高层(共6层),简单装修,普通住宅,前程里(河西),河西,3.11E+15
1700,付3押1,1室1厅1卫,42.1平方米,朝东,高层(共7层),简单装修,普通住宅,拥军里,南开 向阳路,3.11E+15
1750,付3押1,2室1厅1卫,61平方米,朝南,高层(共6层),简单装修,普通住宅,景致里,河西 柳林,3.11E+15
1600,付3押1,1室1厅1卫,62.9平方米,朝南,中层(共6层),简单装修,普通住宅,万达新城普旺里,北辰 普东街,3.11E+15
2600,付3押1,2室1厅1卫,52.7平方米,南北,共5层,简单装修,普通住宅,环湖西里(南区),河西 天塔,3.11E+15
2000,付3押1,2室1厅1卫,43.6平方米,东南,高层(共6层),简单装修,普通住宅,临潼西里,南开 长虹街,3.11E+15
2000,付3押1,1室1厅1卫,71.3平方米,朝西,高层(共6层),简单装修,普通住宅,锦西南里,红桥 咸阳北路街,3.11E+15
1700,付3押1,1室1厅1卫,42.4平方米,朝东,低层(共7层),简单装修,普通住宅,林容里,河北 光复道街,3.11E+15
1600,付3押1,1室1厅1卫,38平方米,朝东,低层(共6层),简单装修,普通住宅,月秋里,河北 鸿顺里街,3.11E+15
1600,付3押1,1室1厅1卫,49.5平方米,朝南,低层(共7层),简单装修,普通住宅,雅美里,南开 长虹街,3.11E+15
1400,付3押1,1室1厅1卫,47平方米,朝南,高层(共7层),简单装修,普通住宅,中山门东里,河东 中山门,3.11E+15
1400,付3押1,1室1厅1卫,47平方米,朝南,高层(共7层),简单装修,普通住宅,中山门东里,河东 中山门,3.11E+15
1000,付3押1,2室1厅1卫,83平方米,朝南,中层(共6层),简单装修,普通住宅,红霞里(津南),津南,3.11E+15
3700,付3押1,3室2厅1卫,106平方米,南北,高层(共7层),简单装修,普通住宅,米兰弘丽园,红桥 芥园街,3.11E+15
2400,付3押1,2室1厅1卫,68.5平方米,朝东,高层(共7层),简单装修,普通住宅,昆璞里,河北 鸿顺里街,3.11E+15
1600,付3押1,1室1厅1卫,26.9平方米,朝南,低层(共7层),简单装修,普通住宅,文苑楼,河西 友谊路,3.11E+15
